"id","nama","nik","status_pasutri","status_kewarganegaraan","jenis_sewa","unit_number","metode_pembayaran","metode_lain","tanggal_checkin","waktu_checkin","tanggal_checkout","waktu_checkout","lama_menginap","komentar","user_email","diedit_oleh","created_at","classification"
"2368","Ben McKenzie","3581491810941560","Menikah","WNA","Bulanan","D-7-19","QRIS",NULL,"2020-06-12","16:01:00","2020-10-10","09:26:00","120",NULL,"Rory.Hane-Hayes20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2369","Neil Mohr","3409671612003993","Menikah","WNA","Bulanan","D-25-2","Cash",NULL,"2021-11-01","17:47:00","2022-03-01","10:22:00","120",NULL,"Angeline.Ankunding@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2370","Irvin Rath","3132201908672933","Menikah","WNA","Mingguan","D-22-3","Cash",NULL,"2021-06-12","17:05:00","2021-06-26","11:51:00","14",NULL,"Renee92@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2371","Carmen VonRueden","5126816105959544","Menikah","WNA","Mingguan","B-11-23","Kartu Kredit",NULL,"2012-05-24","19:29:00","2012-05-31","12:09:00","7",NULL,"Hortense.Crona@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2372","Darlene Cormier-Cassin","3171165611712018","Menikah","WNI","Bulanan","D-13-18","Kartu Kredit",NULL,"2014-11-12","13:14:00","2015-03-12","11:54:00","120",NULL,"Shana.Metz@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2373","Cora Nicolas","3269254108711946","Belum Menikah","WNA","Mingguan","C-21-17","Others","gopay","2012-05-12","15:58:00","2012-05-19","09:42:00","7",NULL,"Boris99@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2374","Kayla Langworth","5121186512690690","Belum Menikah","WNI","Mingguan","B-10-24","Kartu Debit",NULL,"2012-07-15","20:45:00","2012-07-22","10:24:00","7",NULL,"Nicola22@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2375","Everett Friesen","5101162903662649","Belum Menikah","WNI","Harian","D-8-11","Kartu Kredit",NULL,"2025-11-11","14:50:00","2025-11-12","10:42:00","1","Kekerasan atau ancaman kepada penghuni lain","Renee92@gmail.com",NULL,"2025-12-08 19:13:06","tidak normal"
"2376","Maxine Mante","3362676912999976","Menikah","WNI","Mingguan","B-22-20","Others","gopay","2024-08-27","17:58:00","2024-09-17","10:51:00","21",NULL,"pkj@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2377","Vernon Braun","3245462812735749","Menikah","WNA","Harian","C-10-30","Kartu Kredit",NULL,"2024-06-12","18:59:00","2024-06-14","09:40:00","2",NULL,"Alia15@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2378","Edgar Cassin","3290992501055505","Belum Menikah","WNI","Bulanan","A-5-3","Others","gopay","2025-03-09","13:52:00","2025-05-08","08:05:00","60",NULL,"Boris99@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2379","Darrell Douglas","3265081901877060","Menikah","WNI","Bulanan","B-4-25","QRIS",NULL,"2019-08-12","14:02:00","2019-09-11","09:14:00","30",NULL,"Yadira.Labadie22@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2380","Robyn Keebler","5148385506733972","Menikah","WNI","Harian","D-18-16","Kartu Kredit",NULL,"2020-02-10","08:58:00","2020-02-10","13:58:00","0","Menyewakan kembali unit yang disewa","Angeline.Ankunding@gmail.com",NULL,"2025-12-08 19:13:06","tidak normal"
"2381","Mark Hartmann","3466740812692884","Belum Menikah","WNI","Bulanan","D-10-24","Cash",NULL,"2020-10-16","20:44:00","2021-03-15","08:54:00","150",NULL,"Kian24@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2382","Gregg Metz","3105850311934876","Belum Menikah","WNI","Harian","C-18-29","Kartu Kredit",NULL,"2023-10-18","13:19:00","2023-10-22","08:26:00","4",NULL,"Shana.Metz@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2383","Leland Hagenes","3619521605042235","Belum Menikah","WNI","Harian","D-18-17","Others","linkaja","2012-02-23","18:55:00","2012-02-23","00:55:00","0","Kekerasan atau ancaman kepada penghuni lain","Keeley.Kuhic84@yahoo.com",NULL,"2025-12-08 19:13:06","tidak normal"
"2384","Marsha Hintz","3443226208811200","Menikah","WNI","Bulanan","B-10-19","Cash",NULL,"2024-07-02","13:25:00","2024-08-01","10:29:00","30",NULL,"Jeffrey_Olson@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2385","Samantha Leffler","5188034805651009","Menikah","WNI","Harian","C-8-30","Others","ovo","2022-11-29","15:58:00","2022-12-05","08:30:00","6",NULL,"Tanya.Effertz-Hane@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2386","Mae Kling","3582496312020548","Menikah","WNI","Bulanan","D-25-10","Others","ovo","2019-12-29","16:10:00","2020-02-27","07:34:00","60",NULL,"Kian24@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2387","Geraldine Kertzmann","3178776903003066","Belum Menikah","WNA","Bulanan","C-2-30","Kartu Debit",NULL,"2022-03-01","13:25:00","2022-06-29","08:33:00","120",NULL,"Troy_Cruickshank@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2388","Faith Weimann","3406785102975389","Menikah","WNA","Mingguan","A-22-22","QRIS",NULL,"2025-09-01","19:32:00","2025-09-08","09:16:00","7",NULL,"Ashton97@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2389","Erick Leannon","3519513105840909","Menikah","WNA","Bulanan","D-22-24","Others","crypto","2019-11-09","15:52:00","2020-01-08","09:52:00","60",NULL,"Houston.Labadie@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2390","Vivian Langosh","3660195208999617","Belum Menikah","WNA","Mingguan","C-20-4","Cash",NULL,"2013-12-08","19:04:00","2013-12-22","12:14:00","14",NULL,"Darrion_Wisoky41@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2391","Brendan Senger","3457483005868260","Belum Menikah","WNI","Bulanan","C-17-24","Kartu Debit",NULL,"2015-08-27","19:00:00","2016-01-24","10:20:00","150",NULL,"Dejuan5@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2392","Jack Robel","3172871806695022","Belum Menikah","WNI","Bulanan","C-16-29","Kartu Debit",NULL,"2017-12-29","17:34:00","2018-05-28","09:08:00","150",NULL,"Rory.Hane-Hayes20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2393","Dennis Bosco","3509301501678358","Menikah","WNI","Harian","C-7-14","Kartu Debit",NULL,"2016-09-30","17:26:00","2016-10-04","12:31:00","4",NULL,"Tyree5@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2394","Julius Hansen","3504490604735464","Menikah","WNA","Bulanan","D-2-24","Kartu Kredit",NULL,"2019-08-16","15:12:00","2019-09-15","07:08:00","30",NULL,"Shane54@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2395","Sally Walter","3433645306724202","Belum Menikah","WNA","Harian","C-10-4","Cash",NULL,"2019-05-04","20:43:00","2019-05-09","10:48:00","5",NULL,"Hortense.Crona@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2396","Kim Ferry","3626176104914259","Belum Menikah","WNA","Harian","A-24-14","QRIS",NULL,"2021-02-24","15:39:00","2021-02-25","10:25:00","1","Ditemukan alat suntik di tempat sampah","Shaun94@gmail.com",NULL,"2025-12-08 19:13:06","tidak normal"
"2397","Henry Spencer","3678590509992933","Belum Menikah","WNI","Harian","C-16-3","QRIS",NULL,"2023-01-02","20:39:00","2023-01-03","11:12:00","1",NULL,"Kian24@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2398","Kerry Rowe","5113831210768609","Menikah","WNI","Bulanan","A-16-21","Cash",NULL,"2017-11-25","15:47:00","2018-01-24","11:48:00","60",NULL,"Angeline.Ankunding@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2399","Casey Stroman","3170591002701940","Belum Menikah","WNA","Mingguan","B-23-19","Cash",NULL,"2023-01-21","19:25:00","2023-02-04","07:28:00","14",NULL,"Shana.Metz@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2400","Jacqueline Stokes","3423256403963809","Menikah","WNI","Harian","D-21-22","Others","dana","2013-02-17","18:25:00","2013-02-23","07:44:00","6",NULL,"Anabelle67@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2401","Leslie Heidenreich","3186996502000045","Menikah","WNA","Mingguan","C-5-14","Kartu Debit",NULL,"2011-11-11","19:42:00","2011-12-02","12:03:00","21",NULL,"Shaun94@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2402","Sophia Donnelly","3339006907918693","Menikah","WNA","Mingguan","B-20-9","Others","linkaja","2013-08-27","20:00:00","2013-09-17","11:18:00","21",NULL,"Moriah.Will73@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2403","Sylvia Bins","3342956804995848","Belum Menikah","WNI","Bulanan","A-4-26","QRIS",NULL,"2014-06-25","16:04:00","2014-07-25","07:15:00","30",NULL,"Moriah.Will73@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2404","Craig Toy","3405120203002179","Belum Menikah","WNI","Harian","C-14-19","Kartu Debit",NULL,"2012-05-21","17:11:00","2012-05-25","12:19:00","4",NULL,"Alia15@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2405","Ernest Gibson","3645980102671198","Belum Menikah","WNI","Harian","B-15-3","Kartu Debit",NULL,"2023-07-14","20:29:00","2023-07-14","02:29:00","0","Merokok di area terlarang","Rory.Hane-Hayes20@hotmail.com",NULL,"2025-12-08 19:13:06","tidak normal"
"2406","Jerome Treutel-Greenfelder","3309491712767366","Belum Menikah","WNI","Bulanan","D-22-24","Others","linkaja","2012-10-21","16:57:00","2012-12-20","11:40:00","60",NULL,"Houston.Labadie@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2407","Randy Harris","3347502707743387","Menikah","WNI","Harian","D-8-7","Cash",NULL,"2025-08-26","19:54:00","2025-08-30","07:20:00","4",NULL,"Shana.Metz@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2408","Wendell West","3623562611991588","Belum Menikah","WNA","Bulanan","C-17-17","Kartu Debit",NULL,"2024-11-05","13:40:00","2024-12-05","12:57:00","30",NULL,"Donavon77@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2409","Lee Bernier","3552046312904815","Menikah","WNA","Mingguan","A-16-3","Others","dana","2020-05-21","16:08:00","2020-06-11","12:04:00","21",NULL,"Carmella66@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2410","Evelyn Marvin","3684876308809354","Menikah","WNA","Mingguan","D-1-3","Others","paylater","2012-10-13","20:35:00","2012-11-03","07:32:00","21",NULL,"Hortense.Crona@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2411","Gordon Beatty-Casper","3410271405657285","Belum Menikah","WNI","Bulanan","C-18-19","Cash",NULL,"2019-08-11","14:54:00","2019-10-10","12:12:00","60",NULL,"Boris99@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2412","Irene Gerhold","5154655310025520","Belum Menikah","WNA","Harian","A-7-16","Cash",NULL,"2011-08-16","18:54:00","2011-08-21","11:15:00","5",NULL,"Ryder8@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2413","Tony Bradtke","3491890503984956","Menikah","WNA","Bulanan","A-10-25","Cash",NULL,"2023-05-14","18:03:00","2023-06-13","10:21:00","30",NULL,"Ryder8@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2414","Bessie Ryan","3483255803782763","Menikah","WNA","Mingguan","C-12-11","Cash",NULL,"2018-01-16","19:30:00","2018-01-23","07:49:00","7",NULL,"Anabelle67@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2415","Kayla Dach","3413786906858060","Menikah","WNA","Bulanan","A-21-24","Kartu Debit",NULL,"2025-01-17","18:49:00","2025-06-16","10:47:00","150",NULL,"Vladimir58@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2416","Guy Balistreri","3523022903765873","Menikah","WNA","Mingguan","C-5-29","QRIS",NULL,"2015-09-09","16:34:00","2015-09-16","12:00:00","7",NULL,"Moriah.Will73@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2417","Brenda Kreiger","3353785106917949","Belum Menikah","WNA","Mingguan","B-18-2","Kartu Debit",NULL,"2025-10-15","14:15:00","2025-10-29","07:58:00","14",NULL,"Jalon31@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2418","Guadalupe Lindgren-Ledner","3587380611052657","Menikah","WNA","Bulanan","C-21-20","Cash",NULL,"2018-06-15","14:07:00","2018-08-14","12:20:00","60",NULL,"Mallory20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2419","Arnold Toy","3535701307793871","Belum Menikah","WNA","Bulanan","C-19-29","QRIS",NULL,"2021-12-08","17:46:00","2022-04-07","12:55:00","120",NULL,"Tanya.Effertz-Hane@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2420","Rafael Erdman","3360721506794593","Belum Menikah","WNI","Harian","D-2-10","Others","linkaja","2017-04-11","15:59:00","2017-04-16","12:35:00","5",NULL,"Bell_Pouros-Dach2@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2421","Kendra Koch","3675666102062689","Menikah","WNA","Mingguan","B-14-26","Kartu Debit",NULL,"2014-12-29","13:25:00","2015-01-12","12:54:00","14",NULL,"Hortense.Crona@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2422","Wesley Greenholt","3620122101979147","Belum Menikah","WNA","Mingguan","D-13-30","Cash",NULL,"2010-10-07","19:49:00","2010-10-21","07:27:00","14",NULL,"Donavon77@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2423","Drew Stroman","3189221208652992","Belum Menikah","WNI","Mingguan","A-17-28","Cash",NULL,"2022-11-28","16:31:00","2022-12-05","12:19:00","7",NULL,"Tanya.Effertz-Hane@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2424","Naomi Ernser","3511737007031926","Menikah","WNI","Harian","C-12-14","Others","paylater","2021-08-24","17:00:00","2021-08-26","11:07:00","2",NULL,"Ollie.Wilderman@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2425","Lewis Kris","3404822911693987","Belum Menikah","WNA","Bulanan","D-13-16","Others","crypto","2012-11-06","17:50:00","2013-02-04","10:32:00","90",NULL,"Onie87@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2426","Jackie Pouros","3496514205858489","Belum Menikah","WNI","Bulanan","D-6-22","Cash",NULL,"2019-08-12","19:00:00","2019-09-11","11:20:00","30",NULL,"Carmella66@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2427","Stella Schneider","3223715004966803","Belum Menikah","WNA","Bulanan","B-15-9","Others","crypto","2014-05-01","19:11:00","2014-09-28","08:46:00","150",NULL,"Shana.Metz@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2428","Daryl Botsford","3566862807004428","Belum Menikah","WNI","Harian","C-9-12","Cash",NULL,"2017-09-15","20:15:00","2017-09-17","10:38:00","2",NULL,"Mallory20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2429","Lola Boehm","3403975608944474","Belum Menikah","WNI","Mingguan","D-3-30","QRIS",NULL,"2020-10-23","19:08:00","2020-11-13","10:06:00","21",NULL,"Tanya.Effertz-Hane@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2430","Willis Miller","3125372404841506","Belum Menikah","WNA","Mingguan","B-23-25","Kartu Debit",NULL,"2020-03-05","19:32:00","2020-03-26","12:33:00","21",NULL,"Tanya.Effertz-Hane@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2431","Trevor Ondricka","3412830111751011","Belum Menikah","WNI","Mingguan","B-8-30","QRIS",NULL,"2025-02-10","13:52:00","2025-02-17","07:44:00","7",NULL,"Jaime.Murazik28@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2432","Rene Kassulke","3315120402717479","Menikah","WNI","Mingguan","A-24-15","Cash",NULL,"2024-08-15","14:41:00","2024-08-22","08:48:00","7",NULL,"Edwin.Bosco@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2433","Luke Hoeger","3542942204896481","Belum Menikah","WNA","Harian","C-3-20","Cash",NULL,"2025-11-09","16:22:00","2025-11-15","09:25:00","6",NULL,"Tanya.Effertz-Hane@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2434","Vanessa Hamill","3206977006918512","Belum Menikah","WNA","Mingguan","B-8-3","Kartu Kredit",NULL,"2011-07-13","13:36:00","2011-08-03","08:33:00","21",NULL,"Anabelle67@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2435","Van Schimmel","3502622106748380","Belum Menikah","WNA","Mingguan","D-6-10","Cash",NULL,"2022-12-12","13:15:00","2022-12-19","07:43:00","7",NULL,"Paula91@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2436","Brandon Sauer","5172652406903979","Belum Menikah","WNA","Bulanan","C-22-4","Kartu Debit",NULL,"2011-04-03","16:19:00","2011-08-31","08:59:00","150",NULL,"Ian10@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2437","Jerome Walker","3125301506795902","Menikah","WNA","Mingguan","C-16-10","Cash",NULL,"2019-11-21","15:42:00","2019-12-12","12:27:00","21",NULL,"Ryder8@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2438","Janice Pollich","3543315309874385","Belum Menikah","WNA","Mingguan","D-11-25","Cash",NULL,"2015-02-03","17:00:00","2015-02-17","08:57:00","14",NULL,"Jaime.Murazik28@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2439","Rex Tremblay","3614672809984534","Menikah","WNI","Bulanan","A-6-19","Others","dana","2014-06-05","19:30:00","2014-09-03","09:07:00","90",NULL,"Ian10@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2440","Beth Lowe","3164876111059565","Belum Menikah","WNA","Harian","C-23-27","QRIS",NULL,"2025-03-07","17:37:00","2025-03-07","01:37:00","0",NULL,"Seamus79@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2441","Kellie Stroman","3383125906983484","Menikah","WNA","Mingguan","D-6-2","Others","crypto","2014-02-08","20:57:00","2014-02-15","10:53:00","7",NULL,"Anabelle67@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2442","Jeremy Lubowitz","3545662907951959","Belum Menikah","WNI","Mingguan","A-12-25","Kartu Debit",NULL,"2013-11-25","15:15:00","2013-12-02","09:25:00","7",NULL,"Seamus79@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2443","Guy Schimmel","3203492502068994","Belum Menikah","WNI","Mingguan","D-11-3","Kartu Debit",NULL,"2014-10-07","15:39:00","2014-10-28","10:00:00","21",NULL,"Armani68@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2444","Colleen Witting","3426865808037341","Belum Menikah","WNA","Bulanan","B-15-19","Others","ovo","2019-02-20","13:33:00","2019-05-21","12:33:00","90",NULL,"Nicola22@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2445","Lloyd Ziemann","3497680804788416","Belum Menikah","WNI","Harian","C-11-16","Kartu Kredit",NULL,"2016-10-19","14:59:00","2016-10-24","09:18:00","5",NULL,"April39@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2446","Louis Baumbach","3221483107854756","Menikah","WNA","Harian","B-13-9","Others","gopay","2017-07-13","20:59:00","2017-07-14","12:43:00","1","Kerusakan parah pada fasilitas","Lisandro_Armstrong59@yahoo.com",NULL,"2025-12-08 19:13:06","tidak normal"
"2447","Daniel Leffler","3118890201681351","Menikah","WNI","Harian","D-5-16","Kartu Kredit",NULL,"2022-12-26","13:01:00","2022-12-31","09:41:00","5",NULL,"Ian10@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2448","Gene Prohaska","3429392512803383","Belum Menikah","WNI","Bulanan","A-18-21","Cash",NULL,"2019-08-18","20:59:00","2019-12-16","08:53:00","120",NULL,"April39@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2449","Victoria Gulgowski","3295106205845424","Belum Menikah","WNA","Mingguan","D-21-13","Others","paylater","2014-02-04","19:16:00","2014-02-25","09:08:00","21",NULL,"Armani68@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2450","Ashley Brakus","3527176106855486","Menikah","WNA","Mingguan","A-25-12","QRIS",NULL,"2016-04-23","18:02:00","2016-05-07","09:03:00","14",NULL,"Amy_Kuhn34@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2451","Ernestine Morissette","3241056201878138","Menikah","WNI","Harian","B-15-3","Cash",NULL,"2020-10-07","13:44:00","2020-10-13","12:24:00","6",NULL,"Rory.Hane-Hayes20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2452","Martin Bauch","3525082208797555","Menikah","WNA","Mingguan","C-2-4","Kartu Debit",NULL,"2018-11-15","13:17:00","2018-12-06","09:18:00","21",NULL,"Alia15@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2453","Sonia Cole","3195595407731466","Belum Menikah","WNA","Bulanan","C-24-26","Cash",NULL,"2023-08-05","16:13:00","2023-09-04","07:26:00","30",NULL,"Ashton97@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2454","Kerry Powlowski","3230090901853019","Belum Menikah","WNI","Bulanan","A-12-21","Kartu Kredit",NULL,"2024-09-26","19:52:00","2024-11-25","11:53:00","60",NULL,"Shaun94@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2455","Ryan Harber","5123901801715636","Menikah","WNI","Harian","C-4-22","Cash",NULL,"2024-09-21","15:15:00","2024-09-25","08:01:00","4",NULL,"p3srs@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2456","Janet Schultz","3626327009039378","Belum Menikah","WNA","Harian","D-7-19","Cash",NULL,"2018-08-26","19:34:00","2018-08-31","07:30:00","5",NULL,"Rory.Hane-Hayes20@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2457","Warren Boyer","3330701103901178","Belum Menikah","WNI","Mingguan","A-9-11","Cash",NULL,"2017-02-17","20:28:00","2017-02-24","09:44:00","7",NULL,"Irwin.Runolfsdottir49@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2458","Karla Welch","3508425408999508","Menikah","WNA","Bulanan","D-7-6","Kartu Kredit",NULL,"2022-05-23","15:08:00","2022-08-21","08:55:00","90",NULL,"Vladimir58@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2459","Lynne Schuppe","3476734210994326","Menikah","WNI","Mingguan","B-5-22","QRIS",NULL,"2024-08-21","18:57:00","2024-09-04","11:35:00","14",NULL,"Edwin.Bosco@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2460","Leslie Kshlerin","3277642812736911","Menikah","WNA","Harian","B-9-11","Kartu Kredit",NULL,"2014-09-22","18:50:00","2014-09-23","12:03:00","1",NULL,"Renee92@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2461","Ruben Bailey","3659022009796079","Belum Menikah","WNI","Mingguan","D-25-2","QRIS",NULL,"2015-09-27","13:58:00","2015-10-11","08:41:00","14",NULL,"Angeline.Ankunding@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2462","Stanley Effertz","3216082509878645","Belum Menikah","WNA","Mingguan","A-13-15","QRIS",NULL,"2010-05-04","20:46:00","2010-05-11","07:19:00","7",NULL,"Shaun94@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2463","Paula Kirlin","3647104305931402","Belum Menikah","WNI","Harian","C-13-15","Kartu Kredit",NULL,"2021-06-04","20:08:00","2021-06-10","12:49:00","6",NULL,"Vladimir58@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2464","Dolores Gutmann","3271656303661689","Menikah","WNI","Mingguan","B-4-5","Cash",NULL,"2024-07-10","19:25:00","2024-07-31","07:21:00","21",NULL,"Dejuan5@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2465","Kari Bayer","3587464311816363","Menikah","WNI","Mingguan","D-6-12","Cash",NULL,"2010-10-02","20:10:00","2010-10-23","09:04:00","21",NULL,"ketua_agen@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2466","Christy Tremblay","3248376301764904","Belum Menikah","WNA","Bulanan","A-1-22","Kartu Kredit",NULL,"2024-12-11","13:19:00","2025-02-09","11:08:00","60",NULL,"Ollie.Wilderman@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2467","Diane Dickens","3468214603886580","Belum Menikah","WNA","Harian","D-11-28","Kartu Debit",NULL,"2025-11-28","19:26:00","2025-11-29","10:06:00","1","Terpantau adanya tamu yang keluar masuk pada malam hari","Rory.Hane-Hayes20@hotmail.com",NULL,"2025-12-08 19:13:06","tidak normal"
"2468","Marilyn Nader","5125514109732064","Belum Menikah","WNI","Mingguan","A-6-12","Others","crypto","2014-10-04","14:17:00","2014-10-25","11:14:00","21",NULL,"Tyree5@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2469","Shawna Vandervort","3338944203913672","Belum Menikah","WNI","Bulanan","C-8-16","Kartu Kredit",NULL,"2025-07-05","16:54:00","2025-09-03","11:46:00","60",NULL,"Angeline.Ankunding@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2470","Ronnie Harber","3476321202724067","Menikah","WNA","Harian","D-13-12","Kartu Kredit",NULL,"2020-08-05","15:58:00","2020-08-07","12:33:00","2",NULL,"Vladimir58@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2471","Israel Flatley","3485512306703750","Belum Menikah","WNI","Mingguan","D-5-15","QRIS",NULL,"2012-01-16","20:04:00","2012-02-06","10:44:00","21",NULL,"Armani68@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2472","Kimberly Ferry","3409286512846295","Belum Menikah","WNI","Mingguan","A-3-3","QRIS",NULL,"2011-12-11","13:50:00","2012-01-01","12:25:00","21",NULL,"Hortense.Crona@gmail.com",NULL,"2025-12-08 19:13:06","normal"
"2473","Paul Volkman","3107821606655303","Belum Menikah","WNA","Bulanan","D-15-15","Cash",NULL,"2025-07-26","16:49:00","2025-11-23","10:35:00","120",NULL,"Ryder8@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2474","Colin Keeling","5121440702694685","Menikah","WNA","Harian","C-20-7","Cash",NULL,"2013-04-30","18:43:00","2013-05-06","11:33:00","6",NULL,"Dejuan5@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2475","Minnie Huels","3251206609862027","Menikah","WNI","Bulanan","B-8-3","Kartu Kredit",NULL,"2020-08-19","20:13:00","2020-12-17","08:11:00","120",NULL,"Anabelle67@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2476","John Stark","5107362002753529","Menikah","WNI","Bulanan","A-19-15","Cash",NULL,"2019-12-18","14:19:00","2020-03-17","10:17:00","90",NULL,"Paula91@yahoo.com",NULL,"2025-12-08 19:13:06","normal"
"2477","Whitney Beier","3422664109054974","Menikah","WNA","Bulanan","B-25-29","Cash",NULL,"2024-03-24","16:06:00","2024-04-23","10:25:00","30",NULL,"Darrion_Wisoky41@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2478","Vicky Pfeffer","3102885702866261","Belum Menikah","WNI","Mingguan","A-21-4","Cash",NULL,"2011-05-09","18:45:00","2011-05-30","07:36:00","21",NULL,"Laverne.Schaefer@hotmail.com",NULL,"2025-12-08 19:13:06","normal"
"2479","Olivia Bogan","3105986408057816","Belum Menikah","WNA","Harian","B-14-6","Kartu Debit",NULL,"2016-01-27","20:15:00","2016-01-28","07:37:00","1","Menyewakan kembali unit yang disewa","ketua_agen@gmail.com",NULL,"2025-12-08 19:13:06","tidak normal"
